GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RecommendationService,com.whattoeattoday.recommendationservice,RecommendationServiceApplication,5,3,0,0,2,1,1,1,1,1
RecommendationService,com.whattoeattoday.recommendationservice.user.controller,UserController,15,3,0,0,3,1,3,1,3,1
RecommendationService,com.whattoeattoday.recommendationservice.query.controller,QueryController,29,3,0,0,6,1,6,1,6,1
RecommendationService,com.whattoeattoday.recommendationservice.intratable.service.impl,IntraTableServiceImpl,48,284,15,19,12,70,15,7,0,5
RecommendationService,com.whattoeattoday.recommendationservice.docs,JAPIDocsApplication,33,0,0,0,11,0,2,0,2,0
RecommendationService,com.whattoeattoday.recommendationservice.user.utils,MD5Util,52,34,0,0,9,4,3,3,3,3
RecommendationService,com.whattoeattoday.recommendationservice.user.utils,UserAdapter,3,32,0,0,1,7,1,1,1,1
RecommendationService,com.whattoeattoday.recommendationservice.intertable.service.impl,InterTableServiceImpl,67,238,14,36,15,45,11,18,1,3
RecommendationService,com.whattoeattoday.recommendationservice.intertable.controller,InterTableController,10,3,0,0,2,1,2,1,2,1
RecommendationService,com.whattoeattoday.recommendationservice.query.service.impl,QueryServiceImpl,78,206,20,18,21,52,21,5,2,5
RecommendationService,com.whattoeattoday.recommendationservice.intratable.controller,IntraTableController,15,3,0,0,3,1,3,1,3,1
RecommendationService,com.whattoeattoday.recommendationservice.recommendation,VectorizedSimilarityServiceImpl,133,71,0,2,29,18,1,4,1,3
RecommendationService,com.whattoeattoday.recommendationservice.user.service.impl,UserServiceImpl,97,242,29,29,25,58,29,7,0,7
RecommendationService,com.whattoeattoday.recommendationservice.recommendation.controller,RecommendationController,5,3,0,0,1,1,1,1,1,1
RecommendationService,com.whattoeattoday.recommendationservice.database.service.impl,TableServiceImpl,22,374,3,11,10,67,3,12,0,8
RecommendationService,com.whattoeattoday.recommendationservice.database.service.impl,TableServiceImpl.new ArrayList() {...},0,15,0,0,0,3,0,1,0,1
RecommendationService,com.whattoeattoday.recommendationservice.database.service.impl,TableServiceImpl.new ArrayList() {...},0,10,0,0,0,3,0,1,0,1
RecommendationService,com.whattoeattoday.recommendationservice.database.service.impl,DatabaseServiceImpl,39,447,8,32,15,88,8,20,0,8
